iter	Passed	Remaining
422	2795	3813
423	2801	3806
424	2804	3794
425	2807	3782
426	2809	3770
427	2815	3762
428	2817	3750
429	2820	3739
430	2823	3727
431	2826	3715
432	2830	3706
433	2836	3699
434	2839	3687
435	2842	3676
436	2939	3787
437	2951	3787
438	2954	3774
439	2956	3763
440	2959	3751
441	2962	3739
442	2964	3727
443	2967	3716
444	2970	3704
445	2972	3692
446	2975	3681
447	2977	3669
448	2980	3657
449	3011	3681
450	3014	3669
451	3017	3657
452	3019	3646
453	3021	3634
454	3024	3623
455	3027	3611
456	3029	3599
457	3031	3587
458	3040	3583
459	3042	3571
460	3045	3560
461	3047	3548
462	3072	3564
463	3075	3552
464	3077	3541
465	3080	3529
466	3087	3523
467	3089	3511
468	3092	3500
469	3094	3489
470	3096	3477
471	3103	3471
472	3105	3460
473	3107	3448
474	3109	3437
475	3111	3425
476	3121	3422
477	3123	3411
478	3125	3399
479	3127	3388
480	3134	3382
481	3136	3371
482	3138	3359
483	3141	3348
484	3143	3337
485	3174	3356
486	3177	3346
487	3187	3343
488	3190	3333
489	3193	3323
490	3196	3313
491	3199	3304
492	3209	3301
493	3212	3290
494	3215	3280
495	3227	3279
496	3229	3268
497	3231	3257
498	3256	3269
499	3260	3260
500	3263	3250
501	3271	3245
502	3280	3241
503	3289	3237
504	3296	3230
505	3304	3226
506	3308	3216
507	3310	3206
508	3316	3199
509	3320	3190
510	3322	3179
511	3324	3168
512	3336	3167
513	3339	3158
514	3344	3150
515	3347	3140
516	3350	3129
517	3353	3120
518	3370	3123
519	3377	3118
520	3380	3107
521	3383	3098
522	3385	3087
523	3391	3080
524	3398	3074
525	3400	3064
526	3405	3056
527	3408	3047
528	3416	3041
529	3432	3043
530	3438	3037
531	3444	3030
532	3447	3020
533	3449	3010
534	3457	3005
535	3460	2995
536	3462	2985
537	3465	2975
538	3472	2969
539	3474	2960
540	3478	2950
541	3480	2941
542	3485	2933
543	3488	2924
544	3491	2914
545	3494	2905
546	3496	2895
547	3504	2890
548	3507	2881
549	3510	2872
550	3537	2882
551	3540	2873
552	3542	2863
553	3545	2854
554	3548	2845
555	3551	2835
556	3553	2826
557	3556	2816
558	3583	2827
559	3586	2817
560	3588	2808
561	3594	2801
562	3597	2792
563	3599	2782
564	3602	2773
565	3619	2775
566	3625	2768
567	3627	2759
568	3630	2749
569	3632	2740
570	3635	2731
571	3657	2736
572	3659	2727
573	3662	2718
574	3664	2708
575	3667	2699
